UTM E, UTM N
369366.19416525145 ,  3280340.303697494
369366.19416525145 ,  3280340.303697494
369366.19416525145 ,  3280340.303697494
369366.19416525145 ,  3280340.303697494
369366.19416525145 ,  3280340.303697494
369366.19416525145 ,  3280340.303697494
369366.48586211127 ,  3280340.4111311794
369366.48586211127 ,  3280340.4111311794
369366.48586211127 ,  3280340.4111311794
369366.48586211127 ,  3280340.4111311794
369366.48586211127 ,  3280340.4111311794
369366.67946572154 ,  3280340.4088749904
369366.67946572154 ,  3280340.4088749904
369366.67946572154 ,  3280340.4088749904
369366.67946572154 ,  3280340.4088749904
369366.67946572154 ,  3280340.4088749904
369366.6820485883 ,  3280340.630510946
369366.6820485883 ,  3280340.630510946
369366.6820485883 ,  3280340.630510946
369366.6820485883 ,  3280340.630510946
369366.6820485883 ,  3280340.630510946
369366.77885039273 ,  3280340.63880763
369366.77885039273 ,  3280340.7495487714
369366.77885039273 ,  3280340.961606276
369366.77885039273 ,  3280341.2726239488
369366.77885039273 ,  3280341.618984539
369366.77885039273 ,  3280340.8602899127
369366.77885039273 ,  3280341.0699912226
369366.77885039273 ,  3280341.22078767
369366.77885039273 ,  3280341.3715841174
369366.77885039273 ,  3280341.5200243704
369366.19803956593 ,  3280340.8364279578
369366.19803956593 ,  3280341.1144589074
369366.19803956593 ,  3280341.4443261363
369366.19803956593 ,  3280341.877865922
369366.19803956593 ,  3280342.228938901
369363.7844517698 ,  3280341.520036925
369363.7844517698 ,  3280341.88995946
369363.7844517698 ,  3280342.2339638555
369363.7844517698 ,  3280342.5944616124
369363.7844517698 ,  3280342.99737087
369363.7844517698 ,  3280341.5671608145
369363.7844517698 ,  3280341.981851045
369363.7844517698 ,  3280342.4036098593
369363.7844517698 ,  3280342.815943895
369363.7844517698 ,  3280343.2141407635
369359.0579531738 ,  3280343.001812332
369359.0579531738 ,  3280343.4329959233
369359.0579531738 ,  3280343.7887812913
369359.0579531738 ,  3280344.2034715223
369359.0579531738 ,  3280344.6134493635
369357.02382408176 ,  3280342.909973515
369357.02382408176 ,  3280343.3529380793
369357.02382408176 ,  3280343.784121671
369357.02382408176 ,  3280344.2506481796
