UTM E, UTM N
369387.7628905698 ,  3280338.5007008207
369387.7628905698 ,  3280338.5007008207
369387.7628905698 ,  3280338.5619618776
369387.7628905698 ,  3280338.5007008207
369387.7628905698 ,  3280338.814074688
369387.7628905698 ,  3280339.188709612
369387.7628905698 ,  3280339.577481703
369387.7628905698 ,  3280339.8743622084
369387.95262053364 ,  3280338.165991085
369387.95262053364 ,  3280338.5406260095
369387.95262053364 ,  3280338.8257255433
369387.95262053364 ,  3280338.9600286298
369387.95262053364 ,  3280339.0849069376
369390.43718789815 ,  3280335.366216442
369390.43718789815 ,  3280335.3073115796
369390.43718789815 ,  3280335.1777208825
369390.43718789815 ,  3280335.0151434634
369390.43718789815 ,  3280334.8219355154
369390.8011538137 ,  3280333.3669814286
369390.8011538137 ,  3280333.2727336492
369390.8011538137 ,  3280333.211472593
369390.8011538137 ,  3280333.206760204
369390.8011538137 ,  3280333.2044040095
369391.75367822335 ,  3280332.0258869943
369391.75367822335 ,  3280331.9151458535
369391.75367822335 ,  3280331.9198582424
369391.75367822335 ,  3280331.9198582424
369391.75367822335 ,  3280331.978763105
369391.36388836894 ,  3280331.8087625597
369391.36388836894 ,  3280332.067943954
369391.36388836894 ,  3280332.4166607386
369391.36388836894 ,  3280332.7323908
369391.36388836894 ,  3280332.972722638
369390.8824613892 ,  3280332.0360379005
369390.8824613892 ,  3280332.344699379
369390.8824613892 ,  3280332.669854218
369390.8824613892 ,  3280332.9361041957
369390.8824613892 ,  3280333.2518342575
369390.8824613892 ,  3280333.5015908736
369388.40434921137 ,  3280335.6820703726
369388.40434921137 ,  3280335.9129774333
369388.40434921137 ,  3280336.143884494
369388.40434921137 ,  3280336.436052611
369388.40434921137 ,  3280335.3899022555
369388.40434921137 ,  3280335.7315504565
369388.40434921137 ,  3280335.997800434
369388.40434921137 ,  3280336.2546256334
369388.40434921137 ,  3280336.454902165
369388.4946949786 ,  3280334.834684495
369388.4946949786 ,  3280335.1645517237
369388.4946949786 ,  3280335.513268508
369388.4946949786 ,  3280335.8902596263
369388.4946949786 ,  3280336.2719631335
369387.72028019896 ,  3280334.8437077515
