UTM E, UTM N
369387.7628905698 ,  3280338.5007008207
369387.7628905698 ,  3280338.5007008207
369387.95262053364 ,  3280338.165991085
369390.43718789815 ,  3280335.366216442
369390.8011538137 ,  3280333.3669814286
369391.75367822335 ,  3280332.0258869943
369391.36388836894 ,  3280331.8087625597
369390.8824613892 ,  3280332.0360379005
369388.40434921137 ,  3280335.3899022555
369388.40434921137 ,  3280335.3899022555
369388.4946949786 ,  3280334.834684495
369387.72028019896 ,  3280334.8437077515
369387.89838924556 ,  3280333.511636277
369387.22335868905 ,  3280333.7411675984
369386.2656700099 ,  3280334.6389905578
369386.0785225047 ,  3280335.195336266
369386.9600689544 ,  3280336.071728751
369388.2326962417 ,  3280337.2760635847
369388.9270947835 ,  3280338.7088018903
369388.25593818637 ,  3280339.2707870775
369388.07912044926 ,  3280340.7136765327
369388.2908011275 ,  3280342.2628723285
369385.4332326213 ,  3280346.2861569826
369383.7256653775 ,  3280349.2985452325
369379.96331119956 ,  3280350.4507156513
369379.96331119956 ,  3280350.4507156513
369377.9330578314 ,  3280350.696039417
369378.36670486355 ,  3280346.368498374
369377.88011345884 ,  3280346.1525024073
369379.4250675733 ,  3280345.8020006064
369380.2949920684 ,  3280345.6810307964
369380.8770939004 ,  3280345.785080918
369379.42377626343 ,  3280345.6911826315
369380.38275472383 ,  3280344.904176994
369380.2898268637 ,  3280345.2377588963
369379.8045267581 ,  3280345.132580821
369379.12820574245 ,  3280345.25129469
369378.6506535263 ,  3280345.811024517
369377.97949786094 ,  3280346.3730103597
369379.13853624434 ,  3280346.1378384917
369379.81098328775 ,  3280345.686670696
369379.6186710848 ,  3280345.7997446368
369380.36725912656 ,  3280343.5743612996
369381.030667328 ,  3280342.347467765
369381.52113268944 ,  3280342.895917794
369383.2700210762 ,  3280343.429704402
369383.76048628177 ,  3280343.978154525
369383.19904474367 ,  3280345.647191835
369383.0196452529 ,  3280346.8684454593
369382.7511917464 ,  3280348.755734895
369383.0325580037 ,  3280347.9766252036
369383.3281283011 ,  3280348.4165132404
369382.8415370863 ,  3280348.200517065
369382.8415370863 ,  3280348.200517065
