UTM E, UTM N
369366.48586211127 ,  3280340.4111311794
369362.5492162232 ,  3280334.915356772
369364.01415861625 ,  3280336.0066147223
369364.9783027184 ,  3280335.662879677
369365.4855579378 ,  3280337.6519627413
369366.65363706247 ,  3280338.1925154463
369366.3632315859 ,  3280338.1958997305
369365.7979179316 ,  3280339.5324840485
369365.80437514035 ,  3280340.0865739365
369367.45258874353 ,  3280340.2890322898
369367.71845713677 ,  3280338.18010647
369366.73365028057 ,  3280336.750753654
369365.74884317763 ,  3280335.321400917
369365.62750395335 ,  3280333.21698746
369364.9266448335 ,  3280331.230160607
369364.7175436876 ,  3280329.9026011038
369363.8256633129 ,  3280328.1396664833
369363.2448518358 ,  3280328.1464351867
369362.65241715446 ,  3280327.155842131
369362.74276174745 ,  3280326.600624125
369362.745344679 ,  3280326.822260078
369362.64466835395 ,  3280326.490934273
369362.6395024877 ,  3280326.0476623676
369362.444607156 ,  3280325.9391006404
369362.44589862437 ,  3280326.0499186176
369361.76441067946 ,  3280325.7253615903
369361.7618277296 ,  3280325.503725637
369362.14903547586 ,  3280325.4992131176
369362.444607156 ,  3280325.9391006404
